Position,Genre,Age,Nationality,Needs to be relocated,Years of experience,Number of previous companies,Desired salary,Interested in freelance positions,Interested in permanent positions,Human resource score,Tech score,Exam score,Average score,Offer,Hired
Devops,Female,36,French,False,12,10,48000,False,False,2,1,1,1.33,46623,False
Product owner,Female,37,Spanish,False,12,2,40000,False,False,3,1,1,1.67,36989,False
CTO,Female,43,Turkish,True,20,19,70000,False,False,0,1,1,0.67,,
Scrum master,Male,43,French,False,19,3,47000,False,True,0,2,3,1.67,44677,True
Software architect,Female,38,Italian,True,10,3,55000,True,True,2,3,4,3.0,46340,False
Devops,Male,38,Turkish,False,12,11,48000,False,True,0,1,1,0.67,,
Product owner,Male,40,British,False,12,2,40000,False,True,3,1,0,1.33,37208,True
CTO,Female,43,Irish,False,20,10,70000,False,True,1,4,4,3.0,61269,False
Software developer,Male,35,Portuguese,False,9,6,29000,False,False,3,1,1,1.67,25966,True
Software architect,Female,38,Irish,False,10,8,55000,False,False,1,1,4,2.0,50568,False
Product owner,Female,39,British,False,12,3,40000,False,False,3,0,1,1.33,35433,True
Devops,Female,36,French,False,12,5,48000,False,True,3,3,1,2.33,47945,False
CTO,Male,47,Italian,True,20,3,70000,True,False,3,4,0,2.33,63970,False
Software architect,Male,39,Irish,False,10,4,55000,True,True,1,3,1,1.67,54228,True
Software engineer,Male,26,Indian,False,3,2,38000,False,False,4,0,0,1.33,35830,True
Software engineer,Female,31,French,True,3,2,38000,True,True,3,0,4,2.33,35766,True
Software engineer,Male,26,Irish,True,3,2,38000,True,True,2,3,4,3.0,32927,True
Devops,Female,34,Spanish,False,12,1,48000,False,True,0,3,2,1.67,40918,False
Sysops,Female,31,Brazilian,True,7,6,273000,False,False,2,0,1,1.0,227324,True
Software engineer,Female,31,Irish,True,3,1,38000,True,False,3,4,1,2.67,36214,False
Sysops,Male,35,Spanish,True,7,5,273000,False,True,3,0,3,2.0,229896,True
Product owner,Male,41,French,False,12,9,40000,False,True,3,0,4,2.33,36369,True
Devops,Male,40,Indian,False,12,9,48000,False,True,4,2,3,3.0,43736,False
Software developer,Male,38,British,False,9,2,29000,False,False,2,0,2,1.33,25008,False
Devops,Male,37,Indian,False,12,6,48000,False,False,4,4,2,3.33,44563,True
Product owner,Male,38,Italian,True,12,11,40000,True,True,0,2,3,1.67,34403,False
Software architect,Female,35,British,True,10,5,55000,True,True,0,2,0,0.67,,
Scrum master,Female,42,Portuguese,False,19,9,47000,False,False,0,2,3,1.67,38724,True
Scrum master,Male,45,Brazilian,True,19,6,47000,False,True,0,1,4,1.67,44661,True
Devops,Female,40,Irish,True,12,7,48000,False,False,4,4,3,3.67,47991,False
Software engineer,Female,25,British,False,3,2,38000,False,False,1,1,1,1.0,36992,False
Sysops,Male,32,Italian,True,7,3,273000,False,True,0,0,1,0.33,,
Software architect,Male,37,Indian,True,10,1,55000,False,True,3,0,2,1.67,53708,True
Devops,Male,35,Irish,True,12,1,48000,True,True,4,3,3,3.33,46467,True
Product owner,Female,40,British,False,12,6,40000,False,True,3,0,4,2.33,32914,False
Software developer,Female,36,Portuguese,True,9,3,29000,False,False,1,4,4,3.0,25958,True
Product owner,Male,35,Italian,False,12,8,40000,False,True,1,0,4,1.67,37368,False
Devops,Female,41,French,False,12,4,48000,False,True,3,4,4,3.67,42370,False
Software architect,Male,39,Italian,False,10,8,55000,False,True,0,3,0,1.0,45444,True
CTO,Female,47,Brazilian,False,20,6,70000,False,False,1,1,1,1.0,69431,False
Software developer,Male,35,Portuguese,False,9,5,29000,False,False,3,1,2,2.0,24386,False
Software architect,Male,38,Turkish,False,10,7,55000,False,True,3,0,4,2.33,44519,True
CTO,Female,46,Indian,True,20,7,70000,False,False,1,0,4,1.67,66482,True
Software developer,Male,32,Brazilian,False,9,3,29000,True,False,1,3,2,2.0,24572,True
Product owner,Female,38,Indian,True,12,2,40000,False,True,4,1,4,3.0,39769,False
Software architect,Male,34,Spanish,False,10,8,55000,False,False,3,4,1,2.67,51335,False
Product owner,Male,34,Portuguese,False,12,4,40000,False,False,4,3,4,3.67,35462,True
Software architect,Male,33,British,True,10,7,55000,False,False,1,0,4,1.67,51399,True
Product owner,Male,34,Brazilian,False,12,2,40000,True,False,1,3,3,2.33,34118,False
Software engineer,Female,32,Spanish,False,3,1,38000,False,False,0,4,1,1.67,36906,False
Software engineer,Male,26,Indian,True,3,2,38000,False,False,1,0,4,1.67,37979,False
Product owner,Female,37,Turkish,False,12,3,40000,True,True,4,0,1,1.67,34548,False
Software architect,Female,36,Irish,True,10,1,55000,False,False,0,3,1,1.33,48047,True
Scrum master,Male,47,Brazilian,False,19,14,47000,True,False,2,1,2,1.67,41606,True
Software architect,Male,32,Indian,False,10,9,55000,False,True,2,1,1,1.33,54609,False
Software engineer,Male,26,Irish,False,3,1,38000,True,True,2,4,0,2.0,30504,False
Software architect,Male,36,Portuguese,False,10,5,55000,False,False,3,2,1,2.0,49837,False
Scrum master,Male,42,Turkish,False,19,6,47000,False,False,0,2,1,1.0,39601,True
CTO,Male,48,Italian,False,20,10,70000,True,True,0,1,3,1.33,56934,False
Software architect,Female,37,British,False,10,9,55000,True,False,1,4,2,2.33,47296,False
Product owner,Male,36,Portuguese,True,12,8,40000,True,False,3,2,3,2.67,39448,False
Devops,Female,39,Brazilian,False,12,8,48000,False,False,2,2,3,2.33,40253,True
Devops,Female,37,Spanish,False,12,7,48000,True,False,3,0,4,2.33,47598,False
Software architect,Female,32,Spanish,False,10,1,55000,False,False,4,0,1,1.67,50320,False
Software engineer,Female,30,British,False,3,2,38000,True,True,2,4,1,2.33,36353,False
Product owner,Female,38,Italian,True,12,6,40000,False,True,1,3,3,2.33,34170,True
Product owner,Male,40,British,True,12,6,40000,False,False,1,4,3,2.67,32960,False
Software architect,Male,39,French,False,10,3,55000,False,False,3,2,4,3.0,46694,False
Software engineer,Female,27,Turkish,False,3,1,38000,False,True,0,1,2,1.0,37670,True
Software architect,Female,36,Italian,False,10,9,55000,False,False,0,3,0,1.0,45777,False
Software architect,Male,34,British,False,10,2,55000,False,True,1,2,3,2.0,53042,True
CTO,Male,42,Turkish,False,20,18,70000,True,True,1,1,0,0.67,,
Product owner,Female,37,French,True,12,9,40000,True,True,0,0,4,1.33,39335,True
Software developer,Male,34,French,False,9,7,29000,False,True,2,3,1,2.0,25048,True
Devops,Female,38,Portuguese,False,12,7,48000,True,False,2,2,3,2.33,39639,False
Scrum master,Female,42,Indian,False,19,8,47000,False,True,4,0,2,2.0,42278,False
Sysops,Female,31,Spanish,False,7,2,273000,True,True,4,0,4,2.67,239594,False
Software architect,Male,33,Turkish,False,10,5,55000,False,False,4,2,0,2.0,49704,True
Software architect,Female,36,Irish,False,10,9,55000,False,True,2,3,2,2.33,53988,True
CTO,Female,46,Irish,False,20,3,70000,False,True,4,0,2,2.0,69784,True
Devops,Female,36,French,False,12,7,48000,True,True,0,3,1,1.33,40130,False
CTO,Female,49,Brazilian,False,20,18,70000,False,False,1,1,1,1.0,60155,False
Software engineer,Male,29,Italian,True,3,1,38000,False,True,2,2,3,2.33,36629,False
Scrum master,Female,41,Turkish,True,19,2,47000,False,False,0,2,3,1.67,42184,False
Software developer,Female,32,Italian,False,9,7,29000,False,False,3,0,2,1.67,28091,False
Scrum master,Male,47,British,False,19,16,47000,True,False,2,4,3,3.0,41487,False
Sysops,Male,32,Spanish,False,7,6,273000,False,True,1,1,0,0.67,,
Software architect,Male,34,Turkish,True,10,8,55000,False,False,1,1,1,1.0,51424,False
Devops,Female,37,Portuguese,False,12,8,48000,False,False,3,3,1,2.33,38666,False
Software architect,Female,39,Spanish,False,10,8,55000,False,False,0,0,4,1.33,46728,False
CTO,Female,42,British,False,20,3,70000,False,False,3,4,1,2.67,64756,False
Software architect,Female,33,Turkish,False,10,7,55000,False,True,2,2,3,2.33,51625,True
Sysops,Male,36,Brazilian,True,7,4,273000,False,False,1,0,3,1.33,252644,False
Software engineer,Female,29,Brazilian,False,3,2,38000,True,False,3,1,2,2.0,35453,False
Software architect,Male,35,French,False,10,9,55000,False,True,2,0,3,1.67,44967,False
Product owner,Female,39,Brazilian,False,12,1,40000,False,True,2,2,4,2.67,38291,True
Software architect,Female,33,French,False,10,6,55000,False,True,2,1,1,1.33,53594,True
Scrum master,Male,41,Turkish,False,19,1,47000,True,True,2,0,3,1.67,39652,False
Scrum master,Male,43,French,False,19,17,47000,False,True,4,3,0,2.33,43504,False
CTO,Female,44,Indian,False,20,14,70000,True,False,2,3,2,2.33,56547,True
Software developer,Male,36,Turkish,False,9,1,29000,False,True,3,2,3,2.67,26889,False
Software architect,Male,36,Brazilian,False,10,3,55000,False,False,1,3,1,1.67,45634,False
CTO,Female,47,Turkish,False,20,7,70000,False,False,3,4,1,2.67,57821,True
Scrum master,Female,43,French,True,19,10,47000,False,False,1,4,0,1.67,44302,False
CTO,Female,47,Italian,False,20,7,70000,True,False,1,4,2,2.33,66383,False
Product owner,Male,40,British,False,12,2,40000,False,True,0,3,1,1.33,36897,True
Sysops,Female,32,British,False,7,4,273000,True,True,0,2,4,2.0,257719,True
Software developer,Female,35,Spanish,False,9,8,29000,True,True,4,4,2,3.33,24701,True
Software engineer,Male,26,Irish,True,3,1,38000,False,True,4,1,2,2.33,37792,False
Scrum master,Female,43,Indian,False,19,16,47000,False,False,2,4,1,2.33,46002,False
Scrum master,Male,48,French,False,19,10,47000,True,True,4,0,1,1.67,41551,False
Sysops,Male,34,Turkish,False,7,3,273000,False,False,2,3,0,1.67,241459,True
Software architect,Male,38,Italian,False,10,3,55000,False,True,2,3,4,3.0,49662,False
Scrum master,Female,42,Spanish,False,19,9,47000,False,False,2,3,3,2.67,39507,True
Software developer,Female,38,Indian,True,9,1,29000,False,False,1,1,3,1.67,26094,False
Software engineer,Female,29,Portuguese,False,3,2,38000,False,False,2,0,3,1.67,34679,True
Product owner,Female,36,French,False,12,8,40000,False,False,4,1,1,2.0,35952,False
Devops,Female,40,French,True,12,4,48000,False,True,0,2,2,1.33,40640,False
CTO,Female,49,Turkish,False,20,14,70000,False,True,4,2,4,3.33,67196,True
Sysops,Male,32,French,True,7,2,273000,False,False,4,0,3,2.33,241723,False
Sysops,Female,31,Irish,False,7,4,273000,False,False,1,0,4,1.67,242661,True
Scrum master,Female,42,Spanish,False,19,8,47000,False,False,0,1,2,1.0,42076,False
Software developer,Female,38,Brazilian,False,9,4,29000,False,True,1,0,4,1.67,26101,False
Software developer,Female,31,Brazilian,False,9,5,29000,False,True,0,2,1,1.0,24457,True
Devops,Female,34,Portuguese,True,12,2,48000,False,False,0,2,3,1.67,47633,False
Software developer,Male,33,French,False,9,4,29000,False,True,1,0,1,0.67,,
Software architect,Female,38,Brazilian,False,10,6,55000,True,False,2,4,0,2.0,50302,True
Software developer,Female,31,Turkish,False,9,6,29000,True,False,2,3,0,1.67,25234,False
Product owner,Female,40,Indian,False,12,5,40000,False,True,4,2,2,2.67,33928,True
Software developer,Male,31,Turkish,False,9,6,29000,False,True,0,3,3,2.0,23208,False
Software developer,Male,33,Portuguese,True,9,6,29000,True,True,4,1,3,2.67,25394,False
Product owner,Male,40,Portuguese,False,12,5,40000,False,False,4,3,0,2.33,34883,True
CTO,Male,47,Spanish,False,20,6,70000,False,False,3,4,2,3.0,56733,False
Devops,Female,41,British,False,12,10,48000,False,False,2,2,1,1.67,44412,False
Software developer,Female,32,Brazilian,True,9,1,29000,False,False,0,3,2,1.67,27438,True
Software engineer,Female,29,Irish,False,3,1,38000,False,False,3,4,4,3.67,35984,True
Sysops,Female,33,Spanish,True,7,1,273000,True,False,3,1,1,1.67,220829,False
Scrum master,Female,48,Spanish,False,19,4,47000,False,False,0,1,4,1.67,39854,False
Devops,Female,40,Italian,False,12,10,48000,False,False,1,2,0,1.0,41388,True
Product owner,Female,40,Turkish,True,12,11,40000,False,False,4,2,3,3.0,34345,True
Software engineer,Male,32,Italian,False,3,1,38000,False,False,1,1,3,1.67,32779,False
Devops,Male,36,Portuguese,False,12,2,48000,False,True,0,2,4,2.0,41254,True
Devops,Female,35,Irish,False,12,6,48000,False,False,2,1,3,2.0,38739,True
Product owner,Male,34,Spanish,True,12,10,40000,False,True,4,1,1,2.0,38564,False
Software architect,Female,37,French,False,10,9,55000,True,False,2,1,3,2.0,53943,False
Sysops,Female,31,Brazilian,True,7,2,273000,False,False,1,4,0,1.67,245739,False
CTO,Female,46,Turkish,False,20,3,70000,False,False,2,2,3,2.33,63568,True
Product owner,Female,36,British,False,12,6,40000,False,False,4,0,1,1.67,35568,False
Software developer,Male,31,Indian,False,9,8,29000,False,False,4,0,0,1.33,24524,False
Software architect,Female,36,British,True,10,1,55000,False,True,4,2,3,3.0,45891,False
Software developer,Female,37,Italian,False,9,5,29000,False,False,2,4,1,2.33,24331,True
Devops,Female,35,British,False,12,7,48000,True,False,0,0,3,1.0,44439,True
Sysops,Female,35,Spanish,False,7,6,273000,False,False,1,2,4,2.33,246542,False
Software developer,Female,33,Brazilian,False,9,3,29000,False,False,4,0,0,1.33,28030,False
Devops,Female,41,Irish,False,12,3,48000,False,True,2,2,1,1.67,39412,True
CTO,Male,44,Italian,True,20,14,70000,False,True,2,4,1,2.33,64913,True
Product owner,Male,34,Turkish,False,12,8,40000,True,True,1,0,0,0.33,,
Sysops,Female,33,British,False,7,6,273000,False,True,2,0,0,0.67,,
Software architect,Male,36,Turkish,False,10,4,55000,False,False,2,2,1,1.67,46844,True
CTO,Male,49,French,False,20,13,70000,False,True,1,1,0,0.67,,
Software engineer,Female,25,Portuguese,False,3,2,38000,True,True,2,3,3,2.67,32269,False
Software developer,Female,38,Portuguese,False,9,8,29000,False,True,1,3,4,2.67,25935,False
Sysops,Male,36,Spanish,False,7,4,273000,True,True,1,2,2,1.67,264999,True
Software developer,Female,31,Indian,False,9,6,29000,False,False,4,4,4,4.0,24700,False
Software engineer,Female,26,French,False,3,2,38000,True,True,3,4,0,2.33,34873,True
Product owner,Female,38,British,False,12,1,40000,False,False,3,4,3,3.33,35823,True
Sysops,Female,30,Turkish,True,7,1,273000,True,True,3,1,4,2.67,249499,True
Scrum master,Male,45,Italian,False,19,6,47000,False,True,3,3,2,2.67,40998,False
Scrum master,Female,43,Turkish,False,19,6,47000,False,False,1,4,0,1.67,45457,True
Devops,Male,36,Irish,False,12,6,48000,False,False,0,1,3,1.33,42409,False
Software developer,Female,36,Italian,False,9,8,29000,False,False,0,0,0,0.0,,
Product owner,Female,34,Portuguese,True,12,10,40000,True,True,0,3,0,1.0,39976,True
Software architect,Female,34,Indian,False,10,3,55000,False,False,1,1,0,0.67,,
CTO,Male,42,Indian,False,20,10,70000,True,True,1,2,4,2.33,66821,True
Software developer,Female,37,Turkish,False,9,2,29000,False,True,2,3,2,2.33,26289,True
Software architect,Female,34,Irish,False,10,7,55000,False,False,3,2,2,2.33,47811,True
Product owner,Male,37,Spanish,False,12,5,40000,False,False,2,0,3,1.67,36093,False
Software engineer,Male,27,Indian,False,3,2,38000,False,True,4,2,2,2.67,33740,False
Scrum master,Male,42,French,False,19,14,47000,False,False,0,3,3,2.0,40233,True
Software architect,Female,38,Italian,False,10,1,55000,False,True,0,1,4,1.67,49838,True
Software engineer,Male,29,Brazilian,False,3,2,38000,False,False,2,2,2,2.0,31820,True
Software developer,Female,32,British,False,9,4,29000,False,True,3,1,1,1.67,24469,True
CTO,Female,48,Spanish,False,20,9,70000,False,False,0,3,3,2.0,68546,False
Scrum master,Female,48,Irish,False,19,5,47000,False,False,4,3,2,3.0,45436,False
Sysops,Male,32,Brazilian,False,7,6,273000,True,False,1,2,4,2.33,251158,False
Product owner,Female,35,Turkish,False,12,11,40000,False,False,4,3,1,2.67,36920,False
Software architect,Female,37,British,False,10,4,55000,True,True,0,3,0,1.0,54345,True
Software architect,Female,36,Brazilian,False,10,9,55000,False,False,0,4,3,2.33,44805,True
Sysops,Male,33,British,True,7,3,273000,False,True,0,3,3,2.0,222048,True
Devops,Male,37,Irish,False,12,8,48000,True,True,3,2,3,2.67,47813,True
Software developer,Male,34,Turkish,False,9,1,29000,True,False,1,1,4,2.0,26222,False
Product owner,Male,38,Italian,False,12,6,40000,False,True,4,2,3,3.0,36296,False
CTO,Male,46,Portuguese,False,20,14,70000,False,False,0,2,4,2.0,63899,True
Software architect,Female,35,British,False,10,9,55000,False,True,1,0,1,0.67,,
Sysops,Female,33,Brazilian,False,7,3,273000,False,False,2,0,0,0.67,,
Scrum master,Female,46,British,True,19,6,47000,False,False,1,1,4,2.0,38353,False
CTO,Female,46,French,False,20,18,70000,False,False,2,2,4,2.67,63903,False
Scrum master,Male,46,Turkish,False,19,17,47000,False,False,3,2,2,2.33,44303,False
Software engineer,Female,30,Irish,False,3,1,38000,True,False,0,1,0,0.33,,
Devops,Female,41,Portuguese,True,12,4,48000,False,True,3,1,4,2.67,47096,True
Product owner,Male,40,Italian,False,12,1,40000,False,False,4,2,3,3.0,37491,True
Scrum master,Male,41,Spanish,False,19,17,47000,True,False,2,0,2,1.33,40753,True
CTO,Male,48,French,False,20,5,70000,True,False,1,4,3,2.67,57724,False
Product owner,Male,39,British,False,12,7,40000,False,True,1,2,3,2.0,36910,False
Software architect,Male,37,Spanish,False,10,2,55000,False,False,0,2,3,1.67,48111,True
CTO,Female,42,Italian,True,20,19,70000,False,False,2,0,4,2.0,68732,False
Software engineer,Female,28,French,False,3,1,38000,False,False,3,2,2,2.33,35991,False
Software engineer,Female,27,Spanish,False,3,2,38000,False,False,3,2,4,3.0,34452,False
Software architect,Female,33,Italian,False,10,7,55000,True,False,4,0,4,2.67,46771,False
Software architect,Male,39,Brazilian,False,10,6,55000,False,False,4,3,2,3.0,47149,True
Scrum master,Female,46,Portuguese,False,19,11,47000,False,False,1,1,4,2.0,38975,False
CTO,Female,46,Brazilian,True,20,6,70000,False,False,2,0,0,0.67,,
Software architect,Female,37,French,False,10,2,55000,False,True,1,3,1,1.67,49489,False
Scrum master,Female,48,Turkish,False,19,1,47000,True,True,0,0,0,0.0,,
Scrum master,Female,42,British,False,19,12,47000,False,False,3,3,0,2.0,45143,True
Software engineer,Female,32,British,True,3,1,38000,False,True,4,4,4,4.0,35827,True
Product owner,Male,40,Spanish,False,12,6,40000,False,True,3,1,0,1.33,38430,False
Sysops,Female,30,Spanish,False,7,3,273000,True,True,1,0,1,0.67,,
CTO,Male,49,British,False,20,3,70000,False,True,3,3,2,2.67,58621,True
Software developer,Female,32,Indian,False,9,3,29000,True,False,0,4,1,1.67,25009,True
Software architect,Male,36,Italian,False,10,3,55000,False,True,2,2,0,1.33,47497,True
Software architect,Male,34,Portuguese,False,10,6,55000,False,True,3,2,1,2.0,54597,True
Scrum master,Male,42,Portuguese,False,19,12,47000,False,False,0,4,0,1.33,40643,False
Software developer,Female,37,Indian,False,9,7,29000,False,False,4,0,0,1.33,25863,False
Scrum master,Female,45,Indian,False,19,8,47000,False,False,1,3,2,2.0,38493,True
Sysops,Male,35,French,True,7,4,273000,False,False,3,3,3,3.0,224082,False
Scrum master,Female,45,Italian,True,19,12,47000,True,False,4,0,4,2.67,44021,False
Sysops,Male,36,British,False,7,4,273000,False,False,4,0,0,1.33,258098,False
Sysops,Male,35,Spanish,True,7,5,273000,True,False,4,4,0,2.67,246477,False
Devops,Male,38,Brazilian,True,12,11,48000,True,False,1,4,1,2.0,43209,True
Scrum master,Female,42,Brazilian,True,19,2,47000,False,True,0,3,2,1.67,37865,False
Product owner,Male,39,Turkish,True,12,11,40000,False,True,0,0,2,0.67,,
CTO,Female,47,Portuguese,False,20,6,70000,False,False,1,1,2,1.33,58099,True
Software engineer,Female,32,Brazilian,True,3,2,38000,False,False,0,3,2,1.67,36901,True
Sysops,Male,29,Brazilian,True,7,5,273000,False,True,2,0,4,2.0,248704,False
Software architect,Female,36,Irish,True,10,6,55000,False,False,1,3,4,2.67,46912,True
Devops,Male,38,British,False,12,11,48000,False,True,3,1,3,2.33,42953,False
Sysops,Female,33,Brazilian,False,7,5,273000,True,False,0,0,2,0.67,,
Software engineer,Male,30,Indian,True,3,2,38000,True,False,2,3,2,2.33,36878,False
Software developer,Female,34,Italian,False,9,5,29000,False,False,1,3,3,2.33,24016,True
Software developer,Male,35,Portuguese,False,9,3,29000,True,False,3,4,3,3.33,27934,False
Software developer,Female,32,Spanish,False,9,8,29000,True,False,0,3,2,1.67,28157,False
Product owner,Male,41,French,False,12,4,40000,False,False,3,2,0,1.67,36351,False
Product owner,Female,34,Portuguese,False,12,10,40000,False,True,2,1,3,2.0,37234,True
Scrum master,Male,47,French,True,19,2,47000,True,False,0,1,2,1.0,44032,False
Scrum master,Male,45,Spanish,False,19,9,47000,False,False,1,1,4,2.0,38943,False
Product owner,Male,34,Portuguese,False,12,9,40000,True,True,3,2,0,1.67,37281,False
Software developer,Female,38,British,False,9,6,29000,True,True,2,0,4,2.0,26314,False
Software engineer,Male,30,Indian,True,3,1,38000,True,True,3,0,2,1.67,35005,False
Software engineer,Female,27,Turkish,False,3,1,38000,False,False,3,1,0,1.33,32022,True
Software architect,Female,32,Italian,False,10,8,55000,False,False,0,2,4,2.0,46779,True
Software architect,Female,37,British,True,10,8,55000,True,False,3,3,0,2.0,47626,False
Scrum master,Male,48,Turkish,True,19,8,47000,True,True,1,2,3,2.0,41646,True
Devops,Male,40,Turkish,False,12,5,48000,False,False,3,3,0,2.0,44669,True
Software architect,Male,32,Irish,False,10,8,55000,False,False,3,3,3,3.0,45870,False
Sysops,Male,33,Portuguese,True,7,4,273000,False,False,1,3,4,2.67,271111,True
Software engineer,Female,29,British,False,3,2,38000,False,False,4,1,1,2.0,33050,True
Software developer,Female,37,Irish,False,9,2,29000,False,False,3,4,2,3.0,27905,False
Devops,Male,39,Italian,False,12,2,48000,False,True,4,1,1,2.0,40843,False
Product owner,Male,41,British,False,12,7,40000,False,False,1,2,3,2.0,32301,False
Scrum master,Female,47,British,False,19,7,47000,False,True,1,3,0,1.33,43979,False
Sysops,Female,29,Spanish,True,7,1,273000,False,True,3,1,3,2.33,252929,False
Software architect,Female,33,Portuguese,True,10,2,55000,True,True,1,2,2,1.67,53003,True
Software architect,Male,32,Indian,False,10,3,55000,True,False,3,3,0,2.0,53028,False
Software developer,Male,34,British,True,9,3,29000,False,True,1,0,2,1.0,28589,True
Software engineer,Female,26,Indian,False,3,2,38000,False,False,2,3,3,2.67,36143,True
Scrum master,Female,41,Brazilian,False,19,7,47000,False,False,2,4,3,3.0,42008,True
Software architect,Female,33,Portuguese,False,10,4,55000,True,True,4,0,4,2.67,50308,True
Software developer,Male,34,Turkish,True,9,3,29000,False,False,3,4,1,2.67,24154,False
Software architect,Male,39,British,False,10,1,55000,False,True,4,3,3,3.33,52473,False
Software architect,Female,39,Portuguese,True,10,8,55000,False,False,2,0,1,1.0,49001,True
Product owner,Male,34,French,False,12,7,40000,False,False,1,2,1,1.33,36412,False
Devops,Male,37,British,False,12,2,48000,False,True,1,1,2,1.33,44828,False
Software architect,Male,37,British,False,10,4,55000,False,False,4,1,3,2.67,48062,False
Software developer,Female,36,Italian,False,9,2,29000,False,False,4,3,3,3.33,27816,True
Product owner,Male,37,Irish,False,12,7,40000,False,True,1,3,4,2.67,35055,False
Sysops,Female,31,French,False,7,2,273000,False,False,3,0,2,1.67,263606,True
Software developer,Female,34,French,False,9,6,29000,True,True,3,1,4,2.67,27705,True
Software architect,Male,39,Brazilian,False,10,7,55000,False,True,3,3,1,2.33,53084,True
Software engineer,Female,29,British,False,3,2,38000,False,False,2,0,3,1.67,35766,False
Software developer,Female,36,Spanish,False,9,1,29000,False,False,4,2,3,3.0,23353,False
Sysops,Female,30,Brazilian,False,7,4,273000,False,True,0,3,1,1.33,258455,False
Product owner,Male,36,British,True,12,4,40000,True,False,3,4,0,2.33,35988,False
Software engineer,Female,25,Italian,False,3,2,38000,False,True,1,2,1,1.33,36835,False
CTO,Male,44,British,False,20,15,70000,False,False,3,1,4,2.67,62781,False
Software developer,Male,38,Turkish,True,9,5,29000,False,False,1,3,0,1.33,28262,True
Scrum master,Female,41,Italian,False,19,13,47000,False,False,3,0,4,2.33,40451,True
Devops,Male,41,Portuguese,False,12,5,48000,True,False,4,3,1,2.67,41834,True
Software architect,Male,32,Brazilian,False,10,9,55000,False,True,4,1,2,2.33,46967,False
Sysops,Male,35,British,False,7,1,273000,False,True,2,1,0,1.0,225822,False
Product owner,Male,35,British,False,12,8,40000,False,False,2,0,2,1.33,36033,True
Scrum master,Female,41,Turkish,False,19,1,47000,False,False,2,0,4,2.0,38377,True
Software architect,Male,33,Portuguese,False,10,2,55000,False,False,3,2,0,1.67,48465,True
Sysops,Female,30,Spanish,False,7,2,273000,False,False,3,4,0,2.33,264668,True
Software developer,Female,38,Turkish,False,9,6,29000,False,False,3,4,4,3.67,28560,True
Software architect,Male,38,Turkish,False,10,9,55000,True,False,3,4,1,2.67,50706,False
Scrum master,Female,45,Irish,False,19,8,47000,False,True,1,0,3,1.33,41135,True
Software engineer,Male,26,British,True,3,2,38000,False,True,0,0,4,1.33,31177,False
Software developer,Female,37,British,True,9,5,29000,True,False,1,1,1,1.0,28685,False
Software architect,Male,34,Italian,False,10,8,55000,False,True,4,3,4,3.67,53558,True
Software architect,Male,32,Turkish,False,10,8,55000,True,False,0,3,4,2.33,48663,False
Software architect,Male,38,Turkish,False,10,5,55000,False,True,2,1,4,2.33,45285,True
Software architect,Female,33,Brazilian,False,10,5,55000,True,True,1,1,4,2.0,44862,False
Product owner,Male,39,Portuguese,True,12,4,40000,False,True,0,2,0,0.67,,
Software architect,Female,38,British,False,10,4,55000,False,True,3,3,2,2.67,54485,False
Product owner,Female,35,Spanish,False,12,2,40000,False,True,3,3,3,3.0,35767,False
CTO,Female,48,Spanish,False,20,16,70000,True,False,0,4,0,1.33,65733,False
Sysops,Female,36,Portuguese,False,7,4,273000,False,True,1,1,3,1.67,253213,False
Software architect,Male,37,Portuguese,False,10,9,55000,False,False,2,3,0,1.67,50632,True
Software architect,Female,36,French,False,10,8,55000,True,False,2,3,2,2.33,49469,True
CTO,Male,42,Spanish,False,20,10,70000,False,True,0,2,1,1.0,58462,True
Software architect,Female,36,Indian,False,10,1,55000,False,True,2,2,4,2.67,47535,True
Devops,Male,38,Portuguese,False,12,8,48000,False,True,0,3,3,2.0,47632,False
Product owner,Female,40,Irish,True,12,8,40000,False,True,4,3,1,2.67,34815,False
CTO,Female,46,Turkish,True,20,13,70000,False,True,2,0,3,1.67,59006,False
Product owner,Male,40,Spanish,False,12,7,40000,False,False,4,1,4,3.0,36383,True
Software developer,Female,35,Indian,True,9,8,29000,True,True,2,4,0,2.0,28935,True
Software engineer,Male,25,British,True,3,2,38000,False,True,3,3,2,2.67,37892,False
Scrum master,Female,41,Italian,False,19,12,47000,False,True,3,2,2,2.33,41334,True
Software architect,Male,37,Indian,True,10,4,55000,True,False,0,4,1,1.67,47980,True
Software architect,Female,33,Indian,False,10,6,55000,False,True,0,3,4,2.33,47599,False
Software architect,Female,38,Turkish,True,10,4,55000,True,True,3,4,0,2.33,47240,True
Sysops,Male,32,Italian,False,7,1,273000,False,True,2,3,0,1.67,260377,False
Software developer,Male,33,Portuguese,False,9,5,29000,False,False,2,4,0,2.0,26924,True
Software developer,Male,32,Indian,False,9,5,29000,False,False,0,4,1,1.67,25837,True
Sysops,Female,32,Portuguese,False,7,6,273000,False,False,0,3,4,2.33,251520,False
Sysops,Female,35,French,False,7,2,273000,True,True,1,2,4,2.33,232320,True
Sysops,Female,36,British,True,7,2,273000,False,False,0,2,3,1.67,224420,False
CTO,Male,43,Indian,True,20,18,70000,True,False,0,1,2,1.0,61219,False
Software architect,Female,38,Italian,False,10,2,55000,False,True,0,4,1,1.67,47469,False
Sysops,Male,35,Italian,False,7,3,273000,True,False,3,4,4,3.67,266514,True
